date	clade
2020/04/27	I/A3i
2020/03/29	I/A3i
2020/03/29	A3
2020/06/19	A2a
2020/06/20	A2a
2020/06/17	A2a
2020/06/21	A2a
2020/06/15	A2a
2020/06/18	I/A3i
2020/06/15	A2a
2020/06/15	A2a
2020/06/20	A2a
2020/06/15	A2a
2020/06/17	A2a
2020/06/21	A2a
2020/06/17	A2a
2020/05/19	A2a
2020/06/21	A2a
2020/06/15	A2a
2020/06/06	A2a
2020/06/17	A2a
2020/05/26	A2a
2020/06/20	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/05/19	A2a
2020/06/03	A2a
2020/06/18	A2a
2020/06/20	A2a
2020/06/15	A2a
2020/05/12	I/A3i
2020/06/10	A2a
2020/06/15	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/15	A2a
2020/06/04	A2a
2020/06/15	A2a
2020/06/17	A2a
2020/06/15	A2a
2020/05/09	A2a
2020/06/03	I/A3i
2020/06/16	A2a
2020/05/25	Unassigned
2020/06/03	A2a
2020/05/09	A2a
2020/06/19	I/A3i
2020/05/20	Unassigned
2020/06/03	A2a
2020/06/20	A2a
2020/06/19	Unassigned
2020/05/13	Unassigned
2020/05/27	A2a
2020/05/19	A2a
2020/06/18	A2a
2020/06/19	Unassigned
2020/05/19	A2a
2020/05/19	A2a
2020/05/30	A2a
2020/06/20	Unassigned
2020/06/21	Unassigned
2020/06/21	Unassigned
2020/06/17	A2a
2020/06/20	Unassigned
2020/06/20	A2a
2020/06/19	A2a
2020/05/26	Unassigned
2020/05/26	A2a
2020/05/29	A2a
2020/05/29	A2a
2020/06/01	I/A3i
2020/06/01	A2a
2020/06/02	A2a
2020/06/02	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/06/07	A2a
2020/06/09	A2a
2020/06/09	A2a
2020/06/12	A2a
2020/06/11	A2a
2020/06/11	Unassigned
2020/06/11	Unassigned
2020/06/11	Unassigned
2020/06/11	Unassigned
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/11	A2a
2020/06/15	Unassigned
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	Unassigned
2020/06/15	Unassigned
2020/06/16	A2a
2020/06/16	A2a
2020/06/16	Unassigned
2020/06/16	Unassigned
2020/06/16	A2a
2020/06/16	A2a
2020/06/16	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/16	A2a
2020/04/27	I/A3i
2020/05/01	A2a
2020/05/01	A2a
2020/05/02	I/A3i
2020/01/01	Unassigned
2020/05/07	A2a
2020/05/07	A2a
2020/05/07	A2a
2020/05/11	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/16	A2a
2020/05/18	A2a
2020/05/20	A2a
2020/05/21	I/A3i
2020/01/01	Unassigned
2020/05/29	A2a
2020/06/02	Unassigned
2020/06/02	A2a
2020/05/28	A2a
2020/05/28	A2a
2020/06/17	A2a
2020/06/17	Unassigned
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	Unassigned
2020/06/17	Unassigned
2020/06/17	Unassigned
2020/06/17	Unassigned
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/05/07	A2a
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/05/01	Unassigned
